ID,position,parent_ID
e7b8a9e2-1c2a-4c8d-8f3b-1a2b3c4d5e6f,Chief Executive Officer,
f2c3b4a5-2d3e-4f5a-9b6c-2b3c4d5e6f7a,Chief Operating Officer,e7b8a9e2-1c2a-4c8d-8f3b-1a2b3c4d5e6f
f3d4c5b6-3e4f-5a6b-0c7d-3c4d5e6f7a8b,Chief Financial Officer,e7b8a9e2-1c2a-4c8d-8f3b-1a2b3c4d5e6f
f4e5d6c7-4f5a-6b7c-1d8e-4d5e6f7a8b9c,Chief Technology Officer,e7b8a9e2-1c2a-4c8d-8f3b-1a2b3c4d5e6f
f5f6e7d8-5a6b-7c8d-2e9f-5e6f7a8b9c0d,Human Resources Manager,f2c3b4a5-2d3e-4f5a-9b6c-2b3c4d5e6f7a
f6a7b8c9-6b7c-8d9e-3f0a-6f7a8b9c0d1e,Marketing Director,f2c3b4a5-2d3e-4f5a-9b6c-2b3c4d5e6f7a
f7b8c9d0-7c8d-9e0f-4a1b-7a8b9c0d1e2f,Sales Manager,f6a7b8c9-6b7c-8d9e-3f0a-6f7a8b9c0d1e
f8c9d0e1-8d9e-0f1a-5b2c-8b9c0d1e2f3a,Software Engineer,f4e5d6c7-4f5a-6b7c-1d8e-4d5e6f7a8b9c
f9d0e1f2-9e0f-1a2b-6c3d-9c0d1e2f3a4b,Accountant,f3d4c5b6-3e4f-5a6b-0c7d-3c4d5e6f7a8b
fae1f2a3-0f1a-2b3c-7d4e-0d1e2f3a4b5c,Customer Support Lead,f7b8c9d0-7c8d-9e0f-4a1b-7a8b9c0d1e2f
